;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/9/2017 5:59:47 PM
;----------------------------------------------

;Address Opcode 	ASM
0x033C	0x118A      	BCF        PCLATH, 3
0x033D	0x120A      	BCF        PCLATH, 4
0x033E	0x00D9      	MOVWF      _character
;demo_simple_8.c,232 :: 		break;
0x033F	0x2B65      	GOTO       L_batteryIcon23
;demo_simple_8.c,233 :: 		case 5:
L_batteryIcon28:
;demo_simple_8.c,234 :: 		character = batlv5[loopcounter];
0x0340	0x0824      	MOVF       _loopcounter, 0
0x0341	0x3E36      	ADDLW      _batlv5
0x0342	0x00F0      	MOVWF      R0
0x0343	0x3006      	MOVLW      hi_addr(_batlv5)
0x0344	0x1803      	BTFSC      STATUS, 0
0x0345	0x3E01      	ADDLW      1
0x0346	0x0725      	ADDWF      _loopcounter+1, 0
0x0347	0x00F1      	MOVWF      R0+1
0x0348	0x0870      	MOVF       R0, 0
0x0349	0x00E5      	MOVWF      ___DoICPAddr
0x034A	0x0871      	MOVF       R0+1, 0
0x034B	0x00E6      	MOVWF      ___DoICPAddr+1
0x034C	0x21D4      	CALL       _____DoICP
0x034D	0x118A      	BCF        PCLATH, 3
0x034E	0x120A      	BCF        PCLATH, 4
0x034F	0x00D9      	MOVWF      _character
;demo_simple_8.c,235 :: 		break;
0x0350	0x2B65      	GOTO       L_batteryIcon23
;demo_simple_8.c,236 :: 		}
L_batteryIcon22:
0x0351	0x0858      	MOVF       _batlv, 0
0x0352	0x3A01      	XORLW      1
0x0353	0x1903      	BTFSC      STATUS, 2
0x0354	0x2AFC      	GOTO       L_batteryIcon24
0x0355	0x0858      	MOVF       _batlv, 0
0x0356	0x3A02      	XORLW      2
0x0357	0x1903      	BTFSC      STATUS, 2
0x0358	0x2B0D      	GOTO       L_batteryIcon25
0x0359	0x0858      	MOVF       _batlv, 0
0x035A	0x3A03      	XORLW      3
0x035B	0x1903      	BTFSC      STATUS, 2
0x035C	0x2B1E      	GOTO       L_batteryIcon26
0x035D	0x0858      	MOVF       _batlv, 0
0x035E	0x3A04      	XORLW      4
0x035F	0x1903      	BTFSC      STATUS, 2
0x0360	0x2B2F      	GOTO       L_batteryIcon27
0x0361	0x0858      	MOVF       _batlv, 0
0x0362	0x3A05      	XORLW      5
0x0363	0x1903      	BTFSC      STATUS, 2
0x0364	0x2B40      	GOTO       L_batteryIcon28
L_batteryIcon23:
;demo_simple_8.c,237 :: 		Lcd_Chr_CP(character);
0x0365	0x0859      	MOVF       _character, 0
0x0366	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0367	0x20E1      	CALL       _Lcd_Chr_CP
;demo_simple_8.c,219 :: 		for (loopcounter = 0; loopcounter <= 7; loopcounter++){
0x0368	0x0824      	MOVF       _loopcounter, 0
0x0369	0x3E01      	ADDLW      1
0x036A	0x00F0      	MOVWF      R0
0x036B	0x3000      	MOVLW      0
0x036C	0x1803      	BTFSC      STATUS, 0
0x036D	0x3E01      	ADDLW      1
0x036E	0x0725      	ADDWF      _loopcounter+1, 0
0x036F	0x00F1      	MOVWF      R0+1
0x0370	0x0870      	MOVF       R0, 0
0x0371	0x00A4      	MOVWF      _loopcounter
0x0372	0x0871      	MOVF       R0+1, 0
0x0373	0x00A5      	MOVWF      _loopcounter+1
;demo_simple_8.c,238 :: 		}
0x0374	0x2AF3      	GOTO       L_batteryIcon19
L_batteryIcon20:
;demo_simple_8.c,239 :: 		Lcd_Cmd(_LCD_RETURN_HOME);
0x0375	0x3002      	MOVLW      2
0x0376	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0377	0x20A1      	CALL       _Lcd_Cmd
;demo_simple_8.c,240 :: 		Lcd_Chr(pos_row, pos_char, 0);
0x0378	0x0867      	MOVF       FARG_batteryIcon_pos_row, 0
0x0379	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x037A	0x0868      	MOVF       FARG_batteryIcon_pos_char, 0
0x037B	0x00EA      	MOVWF      FARG_Lcd_Chr_column
0x037C	0x01EB      	CLRF       FARG_Lcd_Chr_out_char
0x037D	0x20F7      	CALL       _Lcd_Chr
;demo_simple_8.c,241 :: 		}
0x037E	0x0008      	RETURN
; end of _batteryIcon
_doChecks:
;demo_simple_8.c,393 :: 		void doChecks(){
;demo_simple_8.c,394 :: 		if (acStatus != acNormal){
0x037F	0x1283      	BCF        STATUS, 5
0x0380	0x1303      	BCF        STATUS, 6
0x0381	0x083E      	MOVF       _acStatus, 0
0x0382	0x3A00      	XORLW      0
0x0383	0x1903      	BTFSC      STATUS, 2
0x0384	0x2B87      	GOTO       L_doChecks54
;demo_simple_8.c,395 :: 		mode = mode_inverter;
0x0385	0x01C2      	CLRF       _mode
;demo_simple_8.c,396 :: 		}
0x0386	0x2B8B      	GOTO       L_doChecks55
L_doChecks54:
;demo_simple_8.c,398 :: 		mode = mode_mains;
0x0387	0x3001      	MOVLW      1
0x0388	0x00C2      	MOVWF      _mode
;demo_simple_8.c,399 :: 		inverterState = inv_off;
0x0389	0x3003      	MOVLW      3
0x038A	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,400 :: 		}
L_doChecks55:
;demo_simple_8.c,402 :: 		if ((batteryState != batteryLow) & (overloadState == ovl_normal)){
0x038B	0x0826      	MOVF       _batteryState, 0
0x038C	0x3A02      	XORLW      2
0x038D	0x3001      	MOVLW      1
0x038E	0x1903      	BTFSC      STATUS, 2
0x038F	0x3000      	MOVLW      0
0x0390	0x00F1      	MOVWF      R1
0x0391	0x0864      	MOVF       _overloadState, 0
0x0392	0x3A00      	XORLW      0
0x0393	0x3001      	MOVLW      1
0x0394	0x1D03      	BTFSS      STATUS, 2
0x0395	0x3000      	MOVLW      0
0x0396	0x00F0      	MOVWF      R0
0x0397	0x0871      	MOVF       R1, 0
0x0398	0x05F0      	ANDWF      R0, 1
0x0399	0x1903      	BTFSC      STATUS, 2
0x039A	0x2BA2      	GOTO       L_doChecks56
;demo_simple_8.c,403 :: 		if (inverterSw == 0){         // inverter switch pressed
0x039B	0x1A86      	BTFSC      RB5_bit, 5
0x039C	0x2B9F      	GOTO       L_doChecks57
;demo_simple_8.c,404 :: 		inverterState = inv_normal;
0x039D	0x01BF      	CLRF       _inverterState
;demo_simple_8.c,405 :: 		}
0x039E	0x2BA1      	GOTO       L_doChecks58
L_doChecks57:
;demo_simple_8.c,407 :: 		inverterState = inv_off;
0x039F	0x3003      	MOVLW      3
0x03A0	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,408 :: 		}
L_doChecks58:
;demo_simple_8.c,409 :: 		}
0x03A1	0x2BAF      	GOTO       L_doChecks59
L_doChecks56:
;demo_simple_8.c,410 :: 		else if (batteryState == batteryLow){
0x03A2	0x0826      	MOVF       _batteryState, 0
0x03A3	0x3A02      	XORLW      2
0x03A4	0x1D03      	BTFSS      STATUS, 2
0x03A5	0x2BA9      	GOTO       L_doChecks60
;demo_simple_8.c,411 :: 		inverterState = inv_lowbattery;
0x03A6	0x3001      	MOVLW      1
0x03A7	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,412 :: 		}
0x03A8	0x2BAF      	GOTO       L_doChecks61
L_doChecks60:
;demo_simple_8.c,413 :: 		else if (overloadState == ovl_overload){
0x03A9	0x0864      	MOVF       _overloadState, 0
0x03AA	0x3A01      	XORLW      1
0x03AB	0x1D03      	BTFSS      STATUS, 2
0x03AC	0x2BAF      	GOTO       L_doChecks62
;demo_simple_8.c,414 :: 		inverterState = inv_overload;
0x03AD	0x3002      	MOVLW      2
0x03AE	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,415 :: 		}
L_doChecks62:
L_doChecks61:
L_doChecks59:
;demo_simple_8.c,417 :: 		if (inverterSw == 1){ // switch unpressed
0x03AF	0x1E86      	BTFSS      RB5_bit, 5
0x03B0	0x2BB3      	GOTO       L_doChecks63
;demo_simple_8.c,418 :: 		inverterState = inv_off;
0x03B1	0x3003      	MOVLW      3
0x03B2	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,419 :: 		}
L_doChecks63:
;demo_simple_8.c,421 :: 		if (mode == mode_mains){
0x03B3	0x0842      	MOVF       _mode, 0
0x03B4	0x3A01      	XORLW      1
0x03B5	0x1D03      	BTFSS      STATUS, 2
0x03B6	0x2C0F      	GOTO       L_doChecks64
;demo_simple_8.c,422 :: 		if (mainsStarted == 0){
0x03B7	0x0861      	MOVF       _mainsStarted, 0
0x03B8	0x3A00      	XORLW      0
0x03B9	0x1D03      	BTFSS      STATUS, 2
0x03BA	0x2C0E      	GOTO       L_doChecks65
;demo_simple_8.c,427 :: 		chargingEnabled = 0;
0x03BB	0x01A2      	CLRF       _chargingEnabled
0x03BC	0x01A3      	CLRF       _chargingEnabled+1
;demo_simple_8.c,430 :: 		TMR2IF_bit = 0; TMR2IE_bit = 0;
0x03BD	0x108C      	BCF        TMR2IF_bit, 1
0x03BE	0x1683      	BSF        STATUS, 5
0x03BF	0x108C      	BCF        TMR2IE_bit, 1
;demo_simple_8.c,431 :: 		TMR2 = 0;
0x03C0	0x1283      	BCF        STATUS, 5
0x03C1	0x0191      	CLRF       TMR2
;demo_simple_8.c,432 :: 		MOS1 = 0;
0x03C2	0x1307      	BCF        RC6_bit, 6
;demo_simple_8.c,433 :: 		MOS2 = 0;
0x03C3	0x1287      	BCF        RC5_bit, 5
;demo_simple_8.c,434 :: 		MOSdriveState = 0;
0x03C4	0x01AA      	CLRF       _MOSdriveState
;demo_simple_8.c,435 :: 		pwmStarted = 0;
0x03C5	0x01AD      	CLRF       _pwmStarted
;demo_simple_8.c,436 :: 		Triac = 0;
0x03C6	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,437 :: 		INTE_bit = 0;
0x03C7	0x120B      	BCF        INTE_bit, 4
;demo_simple_8.c,439 :: 		inverterState = inv_off;
0x03C8	0x3003      	MOVLW      3
0x03C9	0x00BF      	MOVWF      _inverterState
;demo_simple_8.c,441 :: 		delay_ms(20); // settling time to ensure everything is off
0x03CA	0x3082      	MOVLW      130
0x03CB	0x00FC      	MOVWF      R12
0x03CC	0x30DD      	MOVLW      221
0x03CD	0x00FD      	MOVWF      R13
L_doChecks66:
0x03CE	0x0BFD      	DECFSZ     R13, 1
0x03CF	0x2BCE      	GOTO       L_doChecks66
0x03D0	0x0BFC      	DECFSZ     R12, 1
0x03D1	0x2BCE      	GOTO       L_doChecks66
0x03D2	0x0000      	NOP
0x03D3	0x0000      	NOP
;demo_simple_8.c,442 :: 		outputRelay = 0;
0x03D4	0x1206      	BCF        RB4_bit, 4
;demo_simple_8.c,443 :: 		delay_ms(1000);
0x03D5	0x301A      	MOVLW      26
0x03D6	0x00FB      	MOVWF      R11
0x03D7	0x305E      	MOVLW      94
0x03D8	0x00FC      	MOVWF      R12
0x03D9	0x306E      	MOVLW      110
0x03DA	0x00FD      	MOVWF      R13
L_doChecks67:
0x03DB	0x0BFD      	DECFSZ     R13, 1
0x03DC	0x2BDB      	GOTO       L_doChecks67
0x03DD	0x0BFC      	DECFSZ     R12, 1
0x03DE	0x2BDB      	GOTO       L_doChecks67
0x03DF	0x0BFB      	DECFSZ     R11, 1
0x03E0	0x2BDB      	GOTO       L_doChecks67
0x03E1	0x0000      	NOP
;demo_simple_8.c,445 :: 		INTEDG_bit = 1; // rising edge
0x03E2	0x1683      	BSF        STATUS, 5
0x03E3	0x1701      	BSF        INTEDG_bit, 6
;demo_simple_8.c,446 :: 		INTE_bit = 1;
0x03E4	0x160B      	BSF        INTE_bit, 4
;demo_simple_8.c,447 :: 		INTF_bit = 0;
0x03E5	0x108B      	BCF        INTF_bit, 1
;demo_simple_8.c,448 :: 		mainsStarted = 1;
0x03E6	0x3001      	MOVLW      1
0x03E7	0x1283      	BCF        STATUS, 5
0x03E8	0x00E1      	MOVWF      _mainsStarted
;demo_simple_8.c,450 :: 		T2CON = 5;   // prescaler 1:4, t2 on
0x03E9	0x3005      	MOVLW      5
0x03EA	0x0092      	MOVWF      T2CON
;demo_simple_8.c,451 :: 		PR2 = 249;   // period = 200us, 50 steps
0x03EB	0x30F9      	MOVLW      249
0x03EC	0x1683      	BSF        STATUS, 5
0x03ED	0x0092      	MOVWF      PR2
;demo_simple_8.c,452 :: 		TMR2IF_bit = 0;
0x03EE	0x1283      	BCF        STATUS, 5
0x03EF	0x108C      	BCF        TMR2IF_bit, 1
;demo_simple_8.c,453 :: 		TMR2IE_bit = 1;
0x03F0	0x1683      	BSF        STATUS, 5
0x03F1	0x148C      	BSF        TMR2IE_bit, 1
;demo_simple_8.c,455 :: 		chargingDuty = 40;
0x03F2	0x3028      	MOVLW      40
0x03F3	0x1283      	BCF        STATUS, 5
0x03F4	0x00AE      	MOVWF      _chargingDuty
;demo_simple_8.c,456 :: 		chargingDuty_buffer = chargingDuty;
0x03F5	0x082E      	MOVF       _chargingDuty, 0
0x03F6	0x00B2      	MOVWF      _chargingDuty_buffer
0x03F7	0x01B3      	CLRF       _chargingDuty_buffer+1
;demo_simple_8.c,458 :: 		cdCounter = 0;
0x03F8	0x01B4      	CLRF       _cdCounter
;demo_simple_8.c,460 :: 		Triac = 0;
0x03F9	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,462 :: 		hicutreached = 0;
0x03FA	0x01BD      	CLRF       _hicutreached
;demo_simple_8.c,463 :: 		vShunt = 0;
0x03FB	0x01BB      	CLRF       _vShunt
0x03FC	0x01BC      	CLRF       _vShunt+1
;demo_simple_8.c,464 :: 		chgDelay = 0;
0x03FD	0x01B5      	CLRF       _chgDelay
;demo_simple_8.c,466 :: 		TMR1H = 0; TMR1L = 0;
0x03FE	0x018F      	CLRF       TMR1H
0x03FF	0x018E      	CLRF       TMR1L
;demo_simple_8.c,467 :: 		T1CON = 0x31;  // period ~105ms, t1 on
0x0400	0x3031      	MOVLW      49
0x0401	0x0090      	MOVWF      T1CON
;demo_simple_8.c,468 :: 		TMR1IF_bit = 0;
0x0402	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,470 :: 		firing = 100; // should never start
0x0403	0x3064      	MOVLW      100
0x0404	0x00AF      	MOVWF      _firing
;demo_simple_8.c,471 :: 		chargingEnabled = 0;
0x0405	0x01A2      	CLRF       _chargingEnabled
0x0406	0x01A3      	CLRF       _chargingEnabled+1
;demo_simple_8.c,473 :: 		delayCounter = 0;
0x0407	0x01B0      	CLRF       _delayCounter
;demo_simple_8.c,474 :: 		delayCounter2 = 0;
0x0408	0x01B1      	CLRF       _delayCounter2
;demo_simple_8.c,476 :: 		chlv = 0;
0x0409	0x01D7      	CLRF       _chlv
;demo_simple_8.c,478 :: 		ovThreshold = overloadThreshold;
0x040A	0x301B      	MOVLW      27
0x040B	0x00B9      	MOVWF      _ovThreshold
0x040C	0x3000      	MOVLW      0
0x040D	0x00BA      	MOVWF      _ovThreshold+1
;demo_simple_8.c,480 :: 		}
L_doChecks65:
;demo_simple_8.c,482 :: 		}
0x040E	0x2C42      	GOTO       L_doChecks68
L_doChecks64:
;demo_simple_8.c,483 :: 		else if (mode == mode_inverter){
0x040F	0x0842      	MOVF       _mode, 0
0x0410	0x3A00      	XORLW      0
0x0411	0x1D03      	BTFSS      STATUS, 2
0x0412	0x2C42      	GOTO       L_doChecks69
;demo_simple_8.c,484 :: 		cdCounter = 0;
0x0413	0x01B4      	CLRF       _cdCounter
;demo_simple_8.c,485 :: 		Triac = 0;
0x0414	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,486 :: 		mainsStarted = 0;
0x0415	0x01E1      	CLRF       _mainsStarted
;demo_simple_8.c,487 :: 		if (inverterState == inv_normal){
0x0416	0x083F      	MOVF       _inverterState, 0
0x0417	0x3A00      	XORLW      0
0x0418	0x1D03      	BTFSS      STATUS, 2
0x0419	0x2C23      	GOTO       L_doChecks70
;demo_simple_8.c,488 :: 		if (pwmStarted == 0){
0x041A	0x082D      	MOVF       _pwmStarted, 0
0x041B	0x3A00      	XORLW      0
0x041C	0x1D03      	BTFSS      STATUS, 2
0x041D	0x2C22      	GOTO       L_doChecks71
;demo_simple_8.c,489 :: 		initializePWM();
0x041E	0x21B6      	CALL       _initializePWM
;demo_simple_8.c,490 :: 		pwmStarted = 1;
0x041F	0x3001      	MOVLW      1
0x0420	0x00AD      	MOVWF      _pwmStarted
;demo_simple_8.c,491 :: 		outputRelay = 1;
0x0421	0x1606      	BSF        RB4_bit, 4
;demo_simple_8.c,492 :: 		}
L_doChecks71:
;demo_simple_8.c,493 :: 		}
0x0422	0x2C42      	GOTO       L_doChecks72
L_doChecks70:
;demo_simple_8.c,496 :: 		TMR2IF_bit = 0; TMR2IE_bit = 0;
0x0423	0x108C      	BCF        TMR2IF_bit, 1
0x0424	0x1683      	BSF        STATUS, 5
0x0425	0x108C      	BCF        TMR2IE_bit, 1
;demo_simple_8.c,497 :: 		TMR2 = 0;
0x0426	0x1283      	BCF        STATUS, 5
0x0427	0x0191      	CLRF       TMR2
;demo_simple_8.c,498 :: 		MOS1 = 0;
0x0428	0x1307      	BCF        RC6_bit, 6
;demo_simple_8.c,499 :: 		MOS2 = 0;
0x0429	0x1287      	BCF        RC5_bit, 5
;demo_simple_8.c,500 :: 		MOSdriveState = 0;
0x042A	0x01AA      	CLRF       _MOSdriveState
;demo_simple_8.c,501 :: 		delay_ms(20);
0x042B	0x3082      	MOVLW      130
0x042C	0x00FC      	MOVWF      R12
0x042D	0x30DD      	MOVLW      221
0x042E	0x00FD      	MOVWF      R13
L_doChecks73:
0x042F	0x0BFD      	DECFSZ     R13, 1
0x0430	0x2C2F      	GOTO       L_doChecks73
0x0431	0x0BFC      	DECFSZ     R12, 1
0x0432	0x2C2F      	GOTO       L_doChecks73
0x0433	0x0000      	NOP
0x0434	0x0000      	NOP
;demo_simple_8.c,502 :: 		outputRelay = 0;
0x0435	0x1206      	BCF        RB4_bit, 4
;demo_simple_8.c,503 :: 		pwmStarted = 0;
0x0436	0x01AD      	CLRF       _pwmStarted
;demo_simple_8.c,504 :: 		Triac = 0;
0x0437	0x1186      	BCF        RB3_bit, 3
;demo_simple_8.c,505 :: 		INTE_bit = 0;
0x0438	0x120B      	BCF        INTE_bit, 4
;demo_simple_8.c,507 :: 		if (inverterState == inv_off){
0x0439	0x083F      	MOVF       _inverterState, 0
0x043A	0x3A03      	XORLW      3
0x043B	0x1D03      	BTFSS      STATUS, 2
0x043C	0x2C42      	GOTO       L_doChecks74
;demo_simple_8.c,508 :: 		batteryState = batteryNormal;
0x043D	0x3003      	MOVLW      3
0x043E	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,509 :: 		overloadState = ovl_normal;
0x043F	0x01E4      	CLRF       _overloadState
;demo_simple_8.c,510 :: 		vShunt = 0;
0x0440	0x01BB      	CLRF       _vShunt
0x0441	0x01BC      	CLRF       _vShunt+1
;demo_simple_8.c,511 :: 		}
L_doChecks74:
;demo_simple_8.c,512 :: 		}
L_doChecks72:
;demo_simple_8.c,513 :: 		}
L_doChecks69:
L_doChecks68:
;demo_simple_8.c,514 :: 		}
0x0442	0x0008      	RETURN
; end of _doChecks
_getBatteryVoltage:
;demo_simple_8.c,346 :: 		void getBatteryVoltage(){
;demo_simple_8.c,351 :: 		ADCON1 = 0;
0x0443	0x1683      	BSF        STATUS, 5
0x0444	0x1303      	BCF        STATUS, 6
0x0445	0x019F      	CLRF       ADCON1
;demo_simple_8.c,353 :: 		vBat = 0;
0x0446	0x1283      	BCF        STATUS, 5
0x0447	0x01C0      	CLRF       _vBat
0x0448	0x01C1      	CLRF       _vBat+1
;demo_simple_8.c,354 :: 		ADCON0 = (ADCON0 & 0xC5) | (batteryCHANNEL << 3);
0x0449	0x30C5      	MOVLW      197
0x044A	0x059F      	ANDWF      ADCON0, 1
;demo_simple_8.c,355 :: 		for (counter = 0; counter < 8; counter++){
0x044B	0x01B8      	CLRF       _counter
L_getBatteryVoltage40:
0x044C	0x3008      	MOVLW      8
0x044D	0x0238      	SUBWF      _counter, 0
0x044E	0x1803      	BTFSC      STATUS, 0
0x044F	0x2C5D      	GOTO       L_getBatteryVoltage41
;demo_simple_8.c,356 :: 		vBat = vBat + ADC_Get_Sample(batteryCHANNEL);
0x0450	0x01A1      	CLRF       FARG_ADC_Get_Sample_channel
0x0451	0x2158      	CALL       _ADC_Get_Sample
0x0452	0x0870      	MOVF       R0, 0
0x0453	0x07C0      	ADDWF      _vBat, 1
0x0454	0x0871      	MOVF       R0+1, 0
0x0455	0x1803      	BTFSC      STATUS, 0
0x0456	0x3E01      	ADDLW      1
0x0457	0x07C1      	ADDWF      _vBat+1, 1
;demo_simple_8.c,355 :: 		for (counter = 0; counter < 8; counter++){
0x0458	0x0A38      	INCF       _counter, 0
0x0459	0x00F0      	MOVWF      R0
0x045A	0x0870      	MOVF       R0, 0
0x045B	0x00B8      	MOVWF      _counter
;demo_simple_8.c,357 :: 		}
0x045C	0x2C4C      	GOTO       L_getBatteryVoltage40
L_getBatteryVoltage41:
;demo_simple_8.c,359 :: 		vBat = vBat >> 3; // 8/8 = 1
0x045D	0x0840      	MOVF       _vBat, 0
0x045E	0x00F0      	MOVWF      R0
0x045F	0x0841      	MOVF       _vBat+1, 0
0x0460	0x00F1      	MOVWF      R0+1
0x0461	0x0CF1      	RRF        R0+1, 1
0x0462	0x0CF0      	RRF        R0, 1
0x0463	0x13F1      	BCF        R0+1, 7
0x0464	0x0CF1      	RRF        R0+1, 1
0x0465	0x0CF0      	RRF        R0, 1
0x0466	0x13F1      	BCF        R0+1, 7
0x0467	0x0CF1      	RRF        R0+1, 1
0x0468	0x0CF0      	RRF        R0, 1
0x0469	0x13F1      	BCF        R0+1, 7
0x046A	0x0870      	MOVF       R0, 0
0x046B	0x00C0      	MOVWF      _vBat
0x046C	0x0871      	MOVF       R0+1, 0
0x046D	0x00C1      	MOVWF      _vBat+1
;demo_simple_8.c,363 :: 		if ((batteryState != batteryLow) | (mode == mode_mains)){
0x046E	0x0826      	MOVF       _batteryState, 0
0x046F	0x3A02      	XORLW      2
0x0470	0x3001      	MOVLW      1
0x0471	0x1903      	BTFSC      STATUS, 2
0x0472	0x3000      	MOVLW      0
0x0473	0x00F1      	MOVWF      R1
0x0474	0x0842      	MOVF       _mode, 0
0x0475	0x3A01      	XORLW      1
0x0476	0x3001      	MOVLW      1
0x0477	0x1D03      	BTFSS      STATUS, 2
0x0478	0x3000      	MOVLW      0
0x0479	0x00F0      	MOVWF      R0
0x047A	0x0871      	MOVF       R1, 0
0x047B	0x04F0      	IORWF      R0, 1
0x047C	0x1903      	BTFSC      STATUS, 2
0x047D	0x2CB7      	GOTO       L_getBatteryVoltage43
;demo_simple_8.c,364 :: 		if (vBat < bat_low){
0x047E	0x3000      	MOVLW      0
0x047F	0x0241      	SUBWF      _vBat+1, 0
0x0480	0x1D03      	BTFSS      STATUS, 2
0x0481	0x2C84      	GOTO       L__getBatteryVoltage179
0x0482	0x305F      	MOVLW      95
0x0483	0x0240      	SUBWF      _vBat, 0
L__getBatteryVoltage179:
0x0484	0x1803      	BTFSC      STATUS, 0
0x0485	0x2C8A      	GOTO       L_getBatteryVoltage44
;demo_simple_8.c,365 :: 		batteryState = batteryLow;
0x0486	0x3002      	MOVLW      2
0x0487	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,366 :: 		hicutreached = 0;
0x0488	0x01BD      	CLRF       _hicutreached
;demo_simple_8.c,367 :: 		}
0x0489	0x2CB7      	GOTO       L_getBatteryVoltage45
L_getBatteryVoltage44:
;demo_simple_8.c,368 :: 		else if (vBat < bat_warning){
0x048A	0x3000      	MOVLW      0
0x048B	0x0241      	SUBWF      _vBat+1, 0
0x048C	0x1D03      	BTFSS      STATUS, 2
0x048D	0x2C90      	GOTO       L__getBatteryVoltage180
0x048E	0x3069      	MOVLW      105
0x048F	0x0240      	SUBWF      _vBat, 0
L__getBatteryVoltage180:
0x0490	0x1803      	BTFSC      STATUS, 0
0x0491	0x2C96      	GOTO       L_getBatteryVoltage46
;demo_simple_8.c,369 :: 		batteryState = batteryWarning;
0x0492	0x3001      	MOVLW      1
0x0493	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,370 :: 		hicutreached = 0;
0x0494	0x01BD      	CLRF       _hicutreached
;demo_simple_8.c,371 :: 		}
0x0495	0x2CB7      	GOTO       L_getBatteryVoltage47
L_getBatteryVoltage46:
;demo_simple_8.c,372 :: 		else if (vBat > bat_high){
0x0496	0x0841      	MOVF       _vBat+1, 0
0x0497	0x3C00      	SUBLW      0
0x0498	0x1D03      	BTFSS      STATUS, 2
0x0499	0x2C9C      	GOTO       L__getBatteryVoltage181
0x049A	0x0840      	MOVF       _vBat, 0
0x049B	0x3C8E      	SUBLW      142
L__getBatteryVoltage181:
0x049C	0x1803      	BTFSC      STATUS, 0
0x049D	0x2CA3      	GOTO       L_getBatteryVoltage48
;demo_simple_8.c,373 :: 		hicutreached = 1;
0x049E	0x3001      	MOVLW      1
0x049F	0x00BD      	MOVWF      _hicutreached
;demo_simple_8.c,374 :: 		batteryState = batteryHigh;
0x04A0	0x3004      	MOVLW      4
0x04A1	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,375 :: 		}
0x04A2	0x2CB7      	GOTO       L_getBatteryVoltage49
L_getBatteryVoltage48:
;demo_simple_8.c,376 :: 		else if (vBat > bat_rechg){
0x04A3	0x0841      	MOVF       _vBat+1, 0
0x04A4	0x3C00      	SUBLW      0
0x04A5	0x1D03      	BTFSS      STATUS, 2
0x04A6	0x2CA9      	GOTO       L__getBatteryVoltage182
0x04A7	0x0840      	MOVF       _vBat, 0
0x04A8	0x3C7D      	SUBLW      125
L__getBatteryVoltage182:
0x04A9	0x1803      	BTFSC      STATUS, 0
0x04AA	0x2CB4      	GOTO       L_getBatteryVoltage50
;demo_simple_8.c,377 :: 		if (hicutreached){
0x04AB	0x083D      	MOVF       _hicutreached, 0
0x04AC	0x1903      	BTFSC      STATUS, 2
0x04AD	0x2CB1      	GOTO       L_getBatteryVoltage51
;demo_simple_8.c,378 :: 		batteryState = batteryHigh;
0x04AE	0x3004      	MOVLW      4
0x04AF	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,379 :: 		}
0x04B0	0x2CB3      	GOTO       L_getBatteryVoltage52
L_getBatteryVoltage51:
;demo_simple_8.c,381 :: 		batteryState = batteryPause;
0x04B1	0x3005      	MOVLW      5
0x04B2	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,382 :: 		}
L_getBatteryVoltage52:
;demo_simple_8.c,383 :: 		}
0x04B3	0x2CB7      	GOTO       L_getBatteryVoltage53
L_getBatteryVoltage50:
;demo_simple_8.c,385 :: 		batteryState = batteryNormal;
0x04B4	0x3003      	MOVLW      3
0x04B5	0x00A6      	MOVWF      _batteryState
;demo_simple_8.c,386 :: 		hicutreached = 0;
0x04B6	0x01BD      	CLRF       _hicutreached
;demo_simple_8.c,387 :: 		}
L_getBatteryVoltage53:
L_getBatteryVoltage49:
L_getBatteryVoltage47:
L_getBatteryVoltage45:
;demo_simple_8.c,388 :: 		}
L_getBatteryVoltage43:
;demo_simple_8.c,390 :: 		ADCON1 = 7;
0x04B7	0x3007      	MOVLW      7
0x04B8	0x1683      	BSF        STATUS, 5
0x04B9	0x009F      	MOVWF      ADCON1
;demo_simple_8.c,391 :: 		}
0x04BA	0x0008      	RETURN
; end of _getBatteryVoltage
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x04BB	0x1683      	BSF        STATUS, 5
0x04BC	0x1303      	BCF        STATUS, 6
0x04BD	0x1386      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x04BE	0x1207      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
